size,dist,run,elapsed_ms,comparisons,array_accesses,assignments,max_sum,start,end
100,random,0,1,058,198,100,110,439,0,11
100,random,1,0,027,198,100,118,834,2,61
100,random,2,0,071,198,100,109,288,89,99
100,random,3,0,027,198,100,110,542,21,54
100,random,4,0,018,198,100,112,411,27,58
100,sorted,0,0,018,198,100,200,4950,0,99
100,sorted,1,0,013,198,100,200,4950,0,99
100,sorted,2,0,027,198,100,200,4950,0,99
100,sorted,3,0,015,198,100,200,4950,0,99
100,sorted,4,0,061,198,100,200,4950,0,99
100,reverse,0,0,015,198,100,200,4950,0,99
100,reverse,1,0,015,198,100,200,4950,0,99
100,reverse,2,0,013,198,100,200,4950,0,99
100,reverse,3,0,013,198,100,200,4950,0,99
100,reverse,4,0,027,198,100,200,4950,0,99
100,nearly-sorted,0,0,020,198,100,199,2450,0,99
100,nearly-sorted,1,0,025,198,100,199,2450,0,99
100,nearly-sorted,2,0,013,198,100,199,2450,0,99
100,nearly-sorted,3,0,013,198,100,199,2450,0,99
100,nearly-sorted,4,0,014,198,100,199,2450,0,99
1000,random,0,0,091,1998,1000,1047,1781,674,888
1000,random,1,0,088,1998,1000,1040,1633,391,622
1000,random,2,0,085,1998,1000,1029,1096,0,119
1000,random,3,0,095,1998,1000,1050,2117,213,460
1000,random,4,0,089,1998,1000,1043,1877,205,926
1000,sorted,0,0,107,1998,1000,1991,49500,0,999
1000,sorted,1,0,100,1998,1000,1991,49500,0,999
1000,sorted,2,0,102,1998,1000,1991,49500,0,999
1000,sorted,3,0,102,1998,1000,1991,49500,0,999
1000,sorted,4,0,103,1998,1000,1991,49500,0,999
1000,reverse,0,0,111,1998,1000,1991,49500,0,999
1000,reverse,1,0,126,1998,1000,1991,49500,0,999
1000,reverse,2,0,126,1998,1000,1991,49500,0,999
1000,reverse,3,0,139,1998,1000,1991,49500,0,999
1000,reverse,4,0,127,1998,1000,1991,49500,0,999
1000,nearly-sorted,0,0,128,1998,1000,1981,24500,0,999
1000,nearly-sorted,1,0,184,1998,1000,1981,24500,0,999
1000,nearly-sorted,2,0,178,1998,1000,1981,24500,0,999
1000,nearly-sorted,3,0,180,1998,1000,1981,24500,0,999
1000,nearly-sorted,4,0,179,1998,1000,1981,24500,0,999
10000,random,0,1,425,19998,10000,10134,5462,4212,6169
10000,random,1,1,504,19998,10000,10246,10480,2020,9951
10000,random,2,1,410,19998,10000,10141,5217,1487,2528
10000,random,3,1,411,19998,10000,10197,8229,2636,5365
10000,random,4,0,327,19998,10000,10316,13104,4733,9975
10000,sorted,0,0,263,19998,10000,19901,495000,0,9999
10000,sorted,1,0,348,19998,10000,19901,495000,0,9999
10000,sorted,2,0,212,19998,10000,19901,495000,0,9999
10000,sorted,3,0,308,19998,10000,19901,495000,0,9999
10000,sorted,4,0,017,19998,10000,19901,495000,0,9999
10000,reverse,0,0,016,19998,10000,19901,495000,0,9999
10000,reverse,1,0,015,19998,10000,19901,495000,0,9999
10000,reverse,2,0,016,19998,10000,19901,495000,0,9999
10000,reverse,3,0,018,19998,10000,19901,495000,0,9999
10000,reverse,4,0,018,19998,10000,19901,495000,0,9999
10000,nearly-sorted,0,0,021,19998,10000,19801,245000,0,9999
10000,nearly-sorted,1,0,020,19998,10000,19801,245000,0,9999
10000,nearly-sorted,2,0,040,19998,10000,19801,245000,0,9999
10000,nearly-sorted,3,0,019,19998,10000,19801,245000,0,9999
10000,nearly-sorted,4,0,020,19998,10000,19801,245000,0,9999
100000,random,0,0,213,199998,100000,101213,49981,562,98051
100000,random,1,0,213,199998,100000,100780,32470,52701,94884
100000,random,2,0,210,199998,100000,100387,15840,10146,28506
100000,random,3,0,192,199998,100000,100393,16575,216,17700
100000,random,4,0,193,199998,100000,100737,30011,14864,94246
100000,sorted,0,0,181,199998,100000,199001,4950000,0,99999
100000,sorted,1,0,208,199998,100000,199001,4950000,0,99999
100000,sorted,2,0,199,199998,100000,199001,4950000,0,99999
100000,sorted,3,0,220,199998,100000,199001,4950000,0,99999
100000,sorted,4,0,222,199998,100000,199001,4950000,0,99999
100000,reverse,0,0,242,199998,100000,199001,4950000,0,99999
100000,reverse,1,0,220,199998,100000,199001,4950000,0,99999
100000,reverse,2,0,266,199998,100000,199001,4950000,0,99999
100000,reverse,3,0,250,199998,100000,199001,4950000,0,99999
100000,reverse,4,0,288,199998,100000,199001,4950000,0,99999
100000,nearly-sorted,0,0,294,199998,100000,198001,2450000,0,99999
100000,nearly-sorted,1,0,296,199998,100000,198001,2450000,0,99999
100000,nearly-sorted,2,0,337,199998,100000,198001,2450000,0,99999
100000,nearly-sorted,3,0,338,199998,100000,198001,2450000,0,99999
100000,nearly-sorted,4,0,413,199998,100000,198001,2450000,0,99999
